編號,重劃區名稱,鄉鎮市區,地段,地號,土地面積(m2),使用分區,縣市
1,中路重劃區,桃園區,中路二段,101,4316.15,住宅區,桃園市
1,中路重劃區,桃園區,中路二段,103,1532.84,住宅區,桃園市
2,同德公園重劃區,桃園區,中埔段,33,1720.0,住宅區,桃園市
2,同德公園重劃區,桃園區,中埔段,505-7,185.0,商業區,桃園市
2,同德公園重劃區,桃園區,中埔段,506,99.0,商業區,桃園市
2,同德公園重劃區,桃園區,中埔段,505,328.0,商業區,桃園市
2,同德公園重劃區,桃園區,中埔段,505-8,518.0,商業區,桃園市
2,同德公園重劃區,桃園區,中埔段,507,529.0,商業區,桃園市
3,中正五街重劃區,桃園區,長安段,1,1126.0,住宅區,桃園市
3,中正五街重劃區,桃園區,長安段,10,121.0,住宅區,桃園市
3,中正五街重劃區,桃園區,長安段,13,890.0,住宅區,桃園市
3,中正五街重劃區,桃園區,埔子段埔子小段,1913-1,740.0,住宅區,桃園市
3,中正五街重劃區,桃園區,埔子段埔子小段,1913-199,46.0,住宅區,桃園市
3,中正五街重劃區,桃園區,埔子段埔子小段,1913-200,108.0,住宅區,桃園市
3,中正五街重劃區,桃園區,埔子段埔子小段,1913-151,178.0,住宅區,桃園市
3,中正五街重劃區,桃園區,埔子段埔子小段,1913-177,128.0,道路,桃園市
4,大竹市地重劃,蘆竹區,大新段,106,464.64,住宅區,桃園市
4,大竹市地重劃,蘆竹區,大新段,116,356.35,住宅區,桃園市
4,大竹市地重劃,蘆竹區,大新段,118,322.12,住宅區,桃園市
4,大竹市地重劃,蘆竹區,大新段,160,516.24,住宅區,桃園市
4,大竹市地重劃,蘆竹區,大新段,161,254.11,住宅區,桃園市
4,大竹市地重劃,蘆竹區,大新段,163,244.68,住宅區,桃園市
5,大興自辦市地重劃區,蘆竹區,大興段,23,643.01,住宅區,桃園市
5,大興自辦市地重劃區,蘆竹區,大興段,26,1028.65,住宅區,桃園市
5,大興自辦市地重劃區,蘆竹區,大興段,36,5888.61,住宅區,桃園市
5,大興自辦市地重劃區,蘆竹區,大興段,48,6272.03,住宅區,桃園市
6,大湳市地重劃,八德區,大福段,597,216.88,住宅區,桃園市
6,大湳市地重劃,八德區,大福段,602,522.85,商業區,桃園市
6,大湳市地重劃,八德區,大福段,625,609.87,住宅區,桃園市
7,高鐵桃園站特區,中壢區,青平段,25,3882.49,商業區,桃園市
7,高鐵桃園站特區,中壢區,青平段,26,4001.53,商業區,桃園市
7,高鐵桃園站特區,中壢區,青平段,48,3780.54,商業區,桃園市
7,高鐵桃園站特區,中壢區,青平段,51,3816.93,商業區,桃園市
7,高鐵桃園站特區,中壢區,青平段,364,6368.27,商業區,桃園市
7,高鐵桃園站特區,中壢區,青平段,417,3227.66,商業區,桃園市
7,高鐵桃園站特區,中壢區,青昇段,426,4421.47,商業區,桃園市
7,高鐵桃園站特區,中壢區,青昇段,429,4452.51,商業區,桃園市
8,航空貨運暨客運區重劃區,大園區,客運一段,11,2200.48,商業區,桃園市
8,航空貨運暨客運區重劃區,大園區,客運一段,62,16161.24,商業區,桃園市
8,航空貨運暨客運區重劃區,大園區,客運一段,72,3451.95,商業區,桃園市
9,埔頂市地重劃區,大溪區,仁武段,3,875.72,住宅區,桃園市
9,埔頂市地重劃區,大溪區,仁武段,5,836.4,住宅區,桃園市
9,埔頂市地重劃區,大溪區,仁武段,8,3049.03,住宅區,桃園市
9,埔頂市地重劃區,大溪區,仁武段,15,195.02,住宅區,桃園市
9,埔頂市地重劃區,大溪區,仁武段,16,202.14,住宅區,桃園市
9,埔頂市地重劃區,大溪區,仁武段,18,552.76,住宅區,桃園市
9,埔頂市地重劃區,大溪區,仁武段,39,190.78,住宅區,桃園市
9,埔頂市地重劃區,大溪區,仁武段,41,198.58,住宅區,桃園市
10,新屋中華市地重劃區,新屋區,中華段,353,4296.47,農業區、住宅區,桃園市
10,新屋中華市地重劃區,新屋區,中華段,363,1210.07,住宅區,桃園市
10,新屋中華市地重劃區,新屋區,中華段,364,2249.62,住宅區,桃園市
10,新屋中華市地重劃區,新屋區,中華段,388,1536.94,住宅區,桃園市
10,新屋中華市地重劃區,新屋區,中華段,389,1909.66,住宅區,桃園市
11,變更中壢主要計畫案,新屋區,新洲段,1214,1081.47,住宅區,桃園市
12,大潭塘背,觀音區,大潭段塘背小段,1613,2008.89,鄉村區乙種建築用地,桃園市
12,大潭塘背,觀音區,大潭段塘背小段,1647,575.16,鄉村區乙種建築用地,桃園市
