編號,重劃區名稱,鄉鎮市區,地段,地號,土地面積(m2),使用分區,縣市,coordinate,id
1,中路重劃區,桃園區,中路二段,101,4316.15,住宅區,桃園市,"25.000471658160546,121.29036605358648",0
1,中路重劃區,桃園區,中路二段,103,1532.84,住宅區,桃園市,"25.00014348654776,121.29020914435272",1
2,同德公園重劃區,桃園區,中埔段,33,1720.0,住宅區,桃園市,"25.016305504501165,121.29500359296364",2
2,同德公園重劃區,桃園區,中埔段,505-7,185.0,商業區,桃園市,"25.014962599371163,121.29470854996832",3
2,同德公園重劃區,桃園區,中埔段,506,99.0,商業區,桃園市,"25.014855652449214,121.2949553132063",4
2,同德公園重劃區,桃園區,中埔段,505,328.0,商業區,桃園市,"25.015063469679344,121.29482790828467",5
2,同德公園重劃區,桃園區,中埔段,505-8,518.0,商業區,桃園市,"25.014924924897795,121.29488691688196",6
2,同德公園重劃區,桃園區,中埔段,507,529.0,商業區,桃園市,"25.014781518732715,121.29501432180358",7
3,中正五街重劃區,桃園區,長安段,1,1126.0,住宅區,桃園市,"25.004988182855268,121.30166485906102",8
3,中正五街重劃區,桃園區,長安段,10,121.0,住宅區,桃園市,"25.00480708750904,121.30133762956385",9
3,中正五街重劃區,桃園區,長安段,13,890.0,住宅區,桃園市,"25.005087845950968,121.30137786268894",10
3,中正五街重劃區,桃園區,埔子段埔子小段,1913-1,740.0,住宅區,桃園市,"25.00516806253114,121.30114451050764",11
3,中正五街重劃區,桃園區,埔子段埔子小段,1913-199,46.0,住宅區,桃園市,"25.00514618528704,121.3009701669146",12
3,中正五街重劃區,桃園區,埔子段埔子小段,1913-200,108.0,住宅區,桃園市,"25.00508419974163,121.30095273255527",13
3,中正五街重劃區,桃園區,埔子段埔子小段,1913-151,178.0,住宅區,桃園市,"25.0050453068349,121.3018700480431",14
3,中正五街重劃區,桃園區,埔子段埔子小段,1913-177,128.0,道路,桃園市,"25.00509635377257,121.30183920264508",15
4,大竹市地重劃,蘆竹區,大新段,106,464.64,住宅區,桃園市,"25.01774440193183,121.26254618167606",16
4,大竹市地重劃,蘆竹區,大新段,116,356.35,住宅區,桃園市,"25.01767026995952,121.26219213009249",17
4,大竹市地重劃,蘆竹區,大新段,118,322.12,住宅區,桃園市,"25.0176253046431,121.26190781592813",18
4,大竹市地重劃,蘆竹區,大新段,160,516.24,住宅區,桃園市,"25.017716450537872,121.2615698576",19
4,大竹市地重劃,蘆竹區,大新段,161,254.11,住宅區,桃園市,"25.01757304763241,121.26156046986388",20
4,大竹市地重劃,蘆竹區,大新段,163,244.68,住宅區,桃園市,"25.017534158679847,121.2613137066349",21
5,大興自辦市地重劃區,蘆竹區,大興段,23,643.01,住宅區,桃園市,"25.015475457181957,121.26371160149677",22
5,大興自辦市地重劃區,蘆竹區,大興段,26,1028.65,住宅區,桃園市,"25.01536608010342,121.26347959041932",23
5,大興自辦市地重劃區,蘆竹區,大興段,36,5888.61,住宅區,桃園市,"25.01705412216036,121.26274868845935",24
5,大興自辦市地重劃區,蘆竹區,大興段,48,6272.03,住宅區,桃園市,"25.01494558509505,121.263019591576",25
6,大湳市地重劃,八德區,大福段,597,216.88,住宅區,桃園市,"24.972514372294818,121.29762679339258",26
6,大湳市地重劃,八德區,大福段,602,522.85,商業區,桃園市,"24.971927175618664,121.29822090268584",27
6,大湳市地重劃,八德區,大福段,625,609.87,住宅區,桃園市,"24.97002895272029,121.29685511944416",28
7,高鐵桃園站特區,中壢區,青平段,25,3882.49,商業區,桃園市,"25.01058742196951,121.2142892181855",29
7,高鐵桃園站特區,中壢區,青平段,26,4001.53,商業區,桃園市,"25.01015961848116,121.21455341577382",30
7,高鐵桃園站特區,中壢區,青平段,48,3780.54,商業區,桃園市,"25.008400990185876,121.21631026268",31
7,高鐵桃園站特區,中壢區,青平段,51,3816.93,商業區,桃園市,"25.00804853228064,121.21595621109644",32
7,高鐵桃園站特區,中壢區,青平段,364,6368.27,商業區,桃園市,"25.00725489060657,121.217431426055",33
7,高鐵桃園站特區,中壢區,青昇段,426,4421.47,商業區,桃園市,"25.01130204492959,121.2200760841369",34
7,高鐵桃園站特區,中壢區,青昇段,429,4452.51,商業區,桃園市,"25.01177602725258,121.2195101380429",35
8,航空貨運暨客運區重劃區,大園區,客運一段,11,2200.48,商業區,桃園市,"25.06154248959251,121.17671012878084",36
8,航空貨運暨客運區重劃區,大園區,客運一段,62,16161.24,商業區,桃園市,"25.05688468927438,121.1741083860318",37
8,航空貨運暨客運區重劃區,大園區,客運一段,72,3451.95,商業區,桃園市,"25.059064182823505,121.17894709110638",38
9,埔頂市地重劃區,大溪區,仁武段,3,875.72,住宅區,桃園市,"24.89675261122743,121.28430023789518",39
9,埔頂市地重劃區,大溪區,仁武段,5,836.4,住宅區,桃園市,"24.89660420145409,121.28453090786876",40
9,埔頂市地重劃區,大溪區,仁武段,8,3049.03,住宅區,桃園市,"24.896055570335403,121.28386572002545",41
9,埔頂市地重劃區,大溪區,仁武段,15,195.02,住宅區,桃園市,"24.8965555424736,121.2832260131916",42
9,埔頂市地重劃區,大溪區,仁武段,16,202.14,住宅區,桃園市,"24.89652878002567,121.28347545861938",43
9,埔頂市地重劃區,大溪區,仁武段,18,552.76,住宅區,桃園市,"24.896665025153556,121.2834955751864",44
9,埔頂市地重劃區,大溪區,仁武段,39,190.78,住宅區,桃園市,"24.89649715167136,121.28290414810093",45
9,埔頂市地重劃區,大溪區,仁武段,41,198.58,住宅區,桃園市,"24.89640469951039,121.28267079591062",46
10,新屋中華市地重劃區,新屋區,中華段,353,4296.47,農業區、住宅區,桃園市,"24.970819872549026,121.10767192139926",47
10,新屋中華市地重劃區,新屋區,中華段,363,1210.07,住宅區,桃園市,"24.971074945226945,121.10627666115424",48
10,新屋中華市地重劃區,新屋區,中華段,364,2249.62,住宅區,桃園市,"24.971284052232598,121.10662803053006",49
10,新屋中華市地重劃區,新屋區,中華段,388,1536.94,住宅區,桃園市,"24.97078924612897,121.10684528947392",50
10,新屋中華市地重劃區,新屋區,中華段,389,1909.66,住宅區,桃園市,"24.970630216657792,121.10658294453512",51
11,變更中壢主要計畫案,新屋區,新洲段,1214,1081.47,住宅區,桃園市,"24.961640445559524,121.14249989390768",52
12,大潭塘背,觀音區,大潭段塘背小段,1613,2008.89,鄉村區乙種建築用地,桃園市,"25.025860974493927,121.0706260800321",53
12,大潭塘背,觀音區,大潭段塘背小段,1647,575.16,鄉村區乙種建築用地,桃園市,"25.02725236776107,121.07048258185505",54
7,高鐵桃園站特區,中壢區,青平段,417,3227.66,商業區,桃園市,"25.00649284392807,121.21542379260818",55
