county,district,section,number,xcenter,ycenter
桃園市,桃園區,南崁頂段陳厝坑小段,379-11,121.34297138681501,25.059013799980498
桃園市,蘆竹區,中興段,1064,121.33283073019001,24.9932731778045
桃園市,大園區,大園段,211,121.197001776115,25.069847637479
桃園市,大園區,大園段,212,121.197219541125,25.069778793687497
桃園市,大溪區,南興段南興小段,439,121.2534864963,24.897067266491
桃園市,觀音區,中觀段,77,121.14639922842,24.975238794347
桃園市,中壢區,仁德段,64,121.2597966866,24.956113350809503
桃園市,桃園區,中路段,816-8,121.28356020122999,25.0051686868975
桃園市,大溪區,福山段,33,121.26016098302,24.831253295636
桃園市,復興區,竹頭角段,34-85,121.29177472647,24.801210630173
桃園市,大園區,橫山段橫山小段,28-5,121.21758098347499,25.0297321044635
桃園市,蘆竹區,南榮段,246-1,121.300996626585,25.035747748679498
桃園市,大園區,照鏡段,71-1,121.206763203965,25.028179205987
桃園市,龜山區,興華段,1102,121.363735704045,25.0498042023215
桃園市,龜山區,興華段,1110-1,121.36312488600001,25.050800773841
桃園市,中壢區,永清段,458,121.228582842165,24.981384700817003
桃園市,中壢區,永清段,480-1,121.22755752796499,24.986890903719
桃園市,中壢區,永清段,478-6,121.22799694605999,24.987461260194998
桃園市,中壢區,後寮段,362-8,121.23376276143,24.948236396561
桃園市,中壢區,忠福段,1478,121.22912720773499,24.9690743409385
桃園市,中壢區,雙嶺段,649-1,121.16262828389,24.965671367315
桃園市,中壢區,五權段,757-6,121.19339326118501,24.9589940643245
桃園市,龍潭區,四方林段四方林小段,693-50,121.204829734335,24.852918952188503
桃園市,龍潭區,干城段,450,121.210434301185,24.872755506257
桃園市,龍潭區,上華段,537,121.22033186038,24.850490056141
桃園市,楊梅區,草湳坡段埔心小段,64-32,121.178284913095,24.9063802332425
桃園市,新屋區,高洲段,599,121.16366925117,24.958417305235002
桃園市,八德區,大興段,443,121.311570011785,25.015137933910502
桃園市,蘆竹區,中興段,1300,121.09650013347499,24.973200712165998
桃園市,觀音區,廣興段,861-2,121.09602237116499,25.034676882444998
桃園市,八德區,永福段,940,121.25510258163,24.841296187034
桃園市,八德區,同福段,381,121.306431093125,24.961789414681
桃園市,蘆竹區,大竹圍段,115-4,121.24978040028,25.045674981751
