year_s,鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,土地位置
101-4,中壢區,土地,月眉段1511地號,295.0,,特定農業區,農牧用地,1010815,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,13500,46.0,,0.0,0,,RPOOMLRKQHHFFBH58DC,桃園市中壢區月眉段1511地號
101-4,桃園區,土地,同德段35地號,1579.21,商,,,1010812,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,無,637251,404.0,,0.0,0,,RPRQMLTLQHHFFAH56CC,桃園市桃園區同德段35地號
101-4,龜山區,土地,72-2地號,1223.14,農,,,1011001,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,133200,109.0,,0.0,0,,RPOPMLPJRHHFFAH28CC,桃園市龜山區72-2地號
101-4,中壢區,土地,青昇段437地號,4174.12,商,,,1010901,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,340000,81.0,,0.0,0,,RPRRMLMKRHHFFBH68CC,桃園市中壢區青昇段437地號
101-4,桃園區,土地,新埔段71地號,186.0,其他,,,1011115,土地1建物0車位0,,,店面(店鋪),,,,0.0,0,0,0,無,無,無,50000,269.0,,0.0,0,,RPXOMLSKRHHFFAH86CC,桃園市桃園區新埔段71地號
101-4,楊梅區,土地,水美段1533地號,2219.88,農,特定農業區,農牧用地,1011001,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,20000,9.0,,0.0,0,,RPPNMLSKRHHFFDH98DC,桃園市楊梅區水美段1533地號
101-4,桃園區,土地,富國段158地號,95.0,住,,,1010903,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,13000,137.0,,0.0,0,,RPTPMLLLRHHFFAH58CC,桃園市桃園區富國段158地號
101-4,龍潭區,土地,奉慈段94地號,923.69,農,一般農業區,農牧用地,1010827,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,99000,107.0,,0.0,0,,RPXNMLQLRHHFFCH86CC,桃園市龍潭區奉慈段94地號
101-4,大園區,土地,青山段429-4地號,2630.89,住,,,1020301,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,170000,65.0,,0.0,0,,RPSNMLSLRHHFFEH76CC,桃園市大園區青山段429-4地號
101-4,龜山區,土地,63-2地號,501.0,農,,,1011001,土地3建物0車位0,,,倉庫,,,,0.0,0,0,0,有,無,無,140000,,,0.0,0,,RPVOMLMKIIHFFAH87CC,桃園市龜山區63-2地號
101-4,平鎮區,土地,南華段1214地號,95.54,其他,,,1011020,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,10000,105.0,,0.0,0,,RPWNMLSKIIHFFGH56DC,桃園市平鎮區南華段1214地號
101-4,蘆竹區,土地,南青段163地號,1152.58,農,,,1010918,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,無,13000,11.0,,0.0,0,,RPRRMLSKIIHFFEH78CC,桃園市蘆竹區南青段163地號
101-4,大園區,土地,內海墘段58-41地號,69.0,,鄉村區,乙種建築用地,1011015,土地1建物0車位0,全,,透天厝,,,,0.0,0,0,0,有,無,有,7000,101.0,,0.0,0,,RPTRMLTKIIHFFEH09CC,桃園市大園區內海墘段58-41地號
101-4,桃園區,土地,小檜溪段67地號,379.0,其他,,,1011101,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,75000,198.0,,0.0,0,,RPWQMLPLIIHFFAH58CC,桃園市桃園區小檜溪段67地號
101-4,桃園區,土地,埔子段埔子小段1894地號,375.0,住,,,1011009,土地1建物0車位0,,,店面(店鋪),,,,0.0,0,0,0,有,無,無,60000,160.0,,0.0,0,,RPSSMLQLIIHFFAH48CC,桃園市桃園區埔子段埔子小段1894地號
101-4,龜山區,土地,南崁頂段陳厝坑小段37-2地號,2151.0,農,,,1011001,土地3建物0車位0,,,倉庫,,,,0.0,0,0,0,有,無,無,234000,,,0.0,0,,RPWSMLQLIIHFFAH88CC,桃園市龜山區南崁頂段陳厝坑小段37-2地號
101-4,桃園區,土地,玉山段447地號,285.74,住,,,1011201,土地1建物0車位0,,,工廠,,,,0.0,0,0,0,無,無,無,21000,,,0.0,0,,RPRNMLRLIIHFFAH97CC,桃園市桃園區玉山段447地號
102-1,楊梅區,土地,大金山下段大金山下小段55-297地號,342.0,住,,,1011101,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,32000,94.0,,0.0,0,,RPTOMLMJJIHFFDH08DC,桃園市楊梅區大金山下段大金山下小段55-297地號
102-1,中壢區,土地,普仁段226-9地號,97.36,住,,,1011011,土地3建物0車位0,全,,透天厝,,,,0.0,4,2,3,有,無,無,40000,411.0,,0.0,0,,RPPNMLOJJIHFFBH57DC,桃園市中壢區普仁段226-9地號
102-1,蘆竹區,土地,六福段721地號,1515.89,工,,,1011026,土地3建物0車位0,,,工廠,,,,0.0,0,1,1,有,無,無,65000,,,0.0,0,,RPWPMLMKJIHFFEH58CC,桃園市蘆竹區六福段721地號
102-1,中壢區,土地,普義段434-1地號,195.0,其他,,,1011017,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,100000,513.0,,0.0,0,,RPQQMLOKJIHFFBH97CC,桃園市中壢區普義段434-1地號
102-1,蘆竹區,土地,南山段687-8地號,2598.82,工,,,1011115,土地9建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,80000,31.0,,0.0,0,,RPWPMLLLJIHFFEH58CC,桃園市蘆竹區南山段687-8地號
102-1,楊梅區,土地,草湳坡段埔心小段37-1地號,86.0,住,,,1011112,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,15000,174.0,,0.0,0,,RPQNMLSLJIHFFDH58EC,桃園市楊梅區草湳坡段埔心小段37-1地號
102-1,平鎮區,土地,平鎮段958地號,452.9,農,,,1011205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,無,54800,121.0,,0.0,0,,RPVOMLKMJIHFFGH58CC,桃園市平鎮區平鎮段958地號
102-1,桃園區,土地,慈文段2000地號,1457.0,住,,,1011201,土地11建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,330000,226.0,,0.0,0,,RPUOMLQJKIHFFAH28CC,桃園市桃園區慈文段2000地號
102-1,桃園區,土地,慈文段2000地號,1457.0,住,,,1011201,土地11建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,330000,226.0,,0.0,0,,RPOPMLQJKIHFFAH77CC,桃園市桃園區慈文段2000地號
102-1,八德區,土地,前程段531地號,201.0,住,,,1011128,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,有,39000,194.0,,0.0,0,含增建或未登記建物。,RPWNMLQJKIHFFFH88CC,桃園市八德區前程段531地號
102-1,新屋區,土地,高洲段193地號,5235.58,工,,,1011206,土地13建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,168000,32.0,,0.0,0,,RPSNMLRKKIHFFDH48CC,桃園市新屋區高洲段193地號
102-1,中壢區,土地,大華段921-1地號,407.0,工,,,1011205,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,28000,69.0,,0.0,0,,RPTNMLPLKIHFFBH38DC,桃園市中壢區大華段921-1地號
102-1,蘆竹區,土地,水尾段2162地號,643.14,工,,,1011212,土地2建物0車位0,,,工廠,,,,0.0,0,0,0,無,無,有,15000,,,0.0,0,,RPUTMLNJJHIFFEH78CC,桃園市蘆竹區水尾段2162地號
