id,coordinate,DBSCAN,group_id,group_center
0,"25.000471658160546,121.29036605358648",0,0,"25.000307572354153,121.2902875989696"
1,"25.00014348654776,121.29020914435272",0,0,"25.000307572354153,121.2902875989696"
2,"25.016305504501165,121.29500359296364",1,1,"25.01514894493857,121.29489943385141"
3,"25.014962599371163,121.29470854996832",1,1,"25.01514894493857,121.29489943385141"
4,"25.014855652449214,121.2949553132063",1,1,"25.01514894493857,121.29489943385141"
5,"25.015063469679344,121.29482790828467",1,1,"25.01514894493857,121.29489943385141"
6,"25.014924924897795,121.29488691688196",1,1,"25.01514894493857,121.29489943385141"
7,"25.014781518732715,121.29501432180358",1,1,"25.01514894493857,121.29489943385141"
8,"25.004988182855268,121.30166485906102",2,2,"25.00505290306032,121.30139462649744"
9,"25.00480708750904,121.30133762956385",2,2,"25.00505290306032,121.30139462649744"
10,"25.005087845950968,121.30137786268894",2,2,"25.00505290306032,121.30139462649744"
11,"25.00516806253114,121.30114451050764",2,2,"25.00505290306032,121.30139462649744"
12,"25.00514618528704,121.3009701669146",2,2,"25.00505290306032,121.30139462649744"
13,"25.00508419974163,121.30095273255527",2,2,"25.00505290306032,121.30139462649744"
14,"25.0050453068349,121.3018700480431",2,2,"25.00505290306032,121.30139462649744"
15,"25.00509635377257,121.30183920264508",2,2,"25.00505290306032,121.30139462649744"
16,"25.01774440193183,121.26254618167606",3,3,"25.016870487792538,121.26240496337468"
17,"25.01767026995952,121.26219213009249",3,3,"25.016870487792538,121.26240496337468"
18,"25.0176253046431,121.26190781592813",3,3,"25.016870487792538,121.26240496337468"
19,"25.017716450537872,121.2615698576",3,3,"25.016870487792538,121.26240496337468"
20,"25.01757304763241,121.26156046986388",3,3,"25.016870487792538,121.26240496337468"
21,"25.017534158679847,121.2613137066349",3,3,"25.016870487792538,121.26240496337468"
22,"25.015475457181957,121.26371160149677",3,3,"25.016870487792538,121.26240496337468"
23,"25.01536608010342,121.26347959041932",3,3,"25.016870487792538,121.26240496337468"
24,"25.01705412216036,121.26274868845935",3,3,"25.016870487792538,121.26240496337468"
25,"25.01494558509505,121.263019591576",3,3,"25.016870487792538,121.26240496337468"
26,"24.972514372294818,121.29762679339258",4,4,"24.971490166877924,121.2975676051742"
27,"24.971927175618664,121.29822090268584",4,4,"24.971490166877924,121.2975676051742"
28,"24.97002895272029,121.29685511944416",4,4,"24.971490166877924,121.2975676051742"
29,"25.01058742196951,121.2142892181855",5,5,"25.00925279620425,121.21669381857234"
30,"25.01015961848116,121.21455341577382",5,5,"25.00925279620425,121.21669381857234"
31,"25.008400990185876,121.21631026268",5,5,"25.00925279620425,121.21669381857234"
32,"25.00804853228064,121.21595621109644",5,5,"25.00925279620425,121.21669381857234"
33,"25.00725489060657,121.217431426055",5,5,"25.00925279620425,121.21669381857234"
34,"25.01130204492959,121.2200760841369",5,5,"25.00925279620425,121.21669381857234"
35,"25.01177602725258,121.2195101380429",5,5,"25.00925279620425,121.21669381857234"
36,"25.06154248959251,121.17671012878084",6,6,"25.06030333620801,121.17782860994362"
37,"25.05688468927438,121.1741083860318",-1,10,"25.05688468927438,121.1741083860318"
38,"25.059064182823505,121.17894709110638",6,6,"25.06030333620801,121.17782860994362"
39,"24.89675261122743,121.28430023789518",7,7,"24.896507947731436,121.28355860709979"
40,"24.89660420145409,121.28453090786876",7,7,"24.896507947731436,121.28355860709979"
41,"24.896055570335403,121.28386572002545",7,7,"24.896507947731436,121.28355860709979"
42,"24.8965555424736,121.2832260131916",7,7,"24.896507947731436,121.28355860709979"
43,"24.89652878002567,121.28347545861938",7,7,"24.896507947731436,121.28355860709979"
44,"24.896665025153556,121.2834955751864",7,7,"24.896507947731436,121.28355860709979"
45,"24.89649715167136,121.28290414810093",7,7,"24.896507947731436,121.28355860709979"
46,"24.89640469951039,121.28267079591062",7,7,"24.896507947731436,121.28355860709979"
47,"24.970819872549026,121.10767192139926",8,8,"24.97091966655907,121.10680096941852"
48,"24.971074945226945,121.10627666115424",8,8,"24.97091966655907,121.10680096941852"
49,"24.971284052232598,121.10662803053006",8,8,"24.97091966655907,121.10680096941852"
50,"24.97078924612897,121.10684528947392",8,8,"24.97091966655907,121.10680096941852"
51,"24.970630216657792,121.10658294453512",8,8,"24.97091966655907,121.10680096941852"
52,"24.961640445559524,121.14249989390768",-1,11,"24.961640445559524,121.14249989390768"
53,"25.025860974493927,121.0706260800321",9,9,"25.026556671127498,121.07055433094357"
54,"25.02725236776107,121.07048258185505",9,9,"25.026556671127498,121.07055433094357"
55,"25.00649284392807,121.21542379260818",5,5,"25.00925279620425,121.21669381857234"
