編號,重劃區名稱,鄉鎮市區,地段,地號,土地面積(m2),使用分區,縣市,coordinate,id,DBSCAN,group_id,group_center,refer_point1,refer_point2,refer_point3,refer_point4
1,中路重劃區,桃園區,中路二段,101,4316.15,住宅區,桃園市,"25.000471658160546,121.29036605358648",1,0,0,"25.000307572354153,121.2902875989696","25.027390153724614,121.2902875989696","24.97322499098369,121.2902875989696","25.000307572354153,121.31999577959479","25.000307572354153,121.2605794183444"
1,中路重劃區,桃園區,中路二段,103,1532.84,住宅區,桃園市,"25.00014348654776,121.29020914435272",2,0,0,"25.000307572354153,121.2902875989696","25.027390153724614,121.2902875989696","24.97322499098369,121.2902875989696","25.000307572354153,121.31999577959479","25.000307572354153,121.2605794183444"
3,中正五街重劃區,桃園區,長安段,1,1126.0,住宅區,桃園市,"25.004988182855268,121.30166485906102",3,1,1,"25.00505290306032,121.30139462649744","25.032135484430782,121.30139462649744","24.97797032168986,121.30139462649744","25.00505290306032,121.33110280712263","25.00505290306032,121.27168644587225"
3,中正五街重劃區,桃園區,長安段,10,121.0,住宅區,桃園市,"25.00480708750904,121.30133762956385",4,1,1,"25.00505290306032,121.30139462649744","25.032135484430782,121.30139462649744","24.97797032168986,121.30139462649744","25.00505290306032,121.33110280712263","25.00505290306032,121.27168644587225"
3,中正五街重劃區,桃園區,長安段,13,890.0,住宅區,桃園市,"25.005087845950968,121.30137786268894",5,1,1,"25.00505290306032,121.30139462649744","25.032135484430782,121.30139462649744","24.97797032168986,121.30139462649744","25.00505290306032,121.33110280712263","25.00505290306032,121.27168644587225"
3,中正五街重劃區,桃園區,埔子段埔子小段,1913-1,740.0,住宅區,桃園市,"25.00516806253114,121.30114451050764",6,1,1,"25.00505290306032,121.30139462649744","25.032135484430782,121.30139462649744","24.97797032168986,121.30139462649744","25.00505290306032,121.33110280712263","25.00505290306032,121.27168644587225"
3,中正五街重劃區,桃園區,埔子段埔子小段,1913-199,46.0,住宅區,桃園市,"25.00514618528704,121.3009701669146",7,1,1,"25.00505290306032,121.30139462649744","25.032135484430782,121.30139462649744","24.97797032168986,121.30139462649744","25.00505290306032,121.33110280712263","25.00505290306032,121.27168644587225"
3,中正五街重劃區,桃園區,埔子段埔子小段,1913-200,108.0,住宅區,桃園市,"25.00508419974163,121.30095273255527",8,1,1,"25.00505290306032,121.30139462649744","25.032135484430782,121.30139462649744","24.97797032168986,121.30139462649744","25.00505290306032,121.33110280712263","25.00505290306032,121.27168644587225"
3,中正五街重劃區,桃園區,埔子段埔子小段,1913-151,178.0,住宅區,桃園市,"25.0050453068349,121.3018700480431",9,1,1,"25.00505290306032,121.30139462649744","25.032135484430782,121.30139462649744","24.97797032168986,121.30139462649744","25.00505290306032,121.33110280712263","25.00505290306032,121.27168644587225"
3,中正五街重劃區,桃園區,埔子段埔子小段,1913-177,128.0,道路,桃園市,"25.00509635377257,121.30183920264508",10,1,1,"25.00505290306032,121.30139462649744","25.032135484430782,121.30139462649744","24.97797032168986,121.30139462649744","25.00505290306032,121.33110280712263","25.00505290306032,121.27168644587225"
