land_id,tran_coordinate,group_id,group_center,refer_point1,refer_point2,refer_point3,refer_point4,group_center_DIST,refer_point1_DIST,refer_point2_DIST,refer_point3_DIST,refer_point4_DIST
3,"25.069847637479,121.197001776115",9,"25.05688468927438,121.1741083860318","25.08396727064484,121.1741083860318","25.02980210790392,121.1741083860318","25.05688468927438,121.203816566657","25.05688468927438,121.14440020540661",2719.856654940058,2789.4179504602566,5001.481747613729,1592.0937123053743,5498.229965966668
4,"25.069778793687497,121.197219541125",9,"25.05688468927438,121.1741083860318","25.08396727064484,121.1741083860318","25.02980210790392,121.1741083860318","25.05688468927438,121.203816566657","25.05688468927438,121.14440020540661",2734.5510797112565,2811.8920173203605,5004.921016049409,1575.8128160400763,5517.4648093964615
11,"25.0297321044635,121.217580983475",9,"25.05688468927438,121.1741083860318","25.08396727064484,121.1741083860318","25.02980210790392,121.1741083860318","25.05688468927438,121.203816566657","25.05688468927438,121.14440020540661",5319.093672535991,7438.802611426691,4387.511547710075,3313.034223461012,7974.034276395672
46,"25.006790005836,121.13144959079",9,"25.05688468927438,121.1741083860318","25.08396727064484,121.1741083860318","25.02980210790392,121.1741083860318","25.05688468927438,121.203816566657","25.05688468927438,121.14440020540661",7023.44169739142,9571.85217028701,5003.7680970997335,9172.527021612137,5701.005232770426
47,"25.046352584942,121.13741841905",9,"25.05688468927438,121.1741083860318","25.08396727064484,121.1741083860318","25.02980210790392,121.1741083860318","25.05688468927438,121.203816566657","25.05688468927438,121.14440020540661",3881.7798876606653,5573.656608493098,4131.739297902147,6800.913547710042,1362.8961853332667
48,"25.0460740659335,121.206693911705",9,"25.05688468927438,121.1741083860318","25.08396727064484,121.1741083860318","25.02980210790392,121.1741083860318","25.05688468927438,121.203816566657","25.05688468927438,121.14440020540661",3499.420922906676,5331.897796417769,3750.099733190783,1232.2276189330998,6398.986664867221
55,"25.030801845003,121.217221975875",9,"25.05688468927438,121.1741083860318","25.08396727064484,121.1741083860318","25.02980210790392,121.1741083860318","25.05688468927438,121.203816566657","25.05688468927438,121.14440020540661",5222.761117218823,7321.839058575203,4352.661772822056,3190.305553015437,7896.338732281944
61,"25.038610892515,121.138404036165",9,"25.05688468927438,121.1741083860318","25.08396727064484,121.1741083860318","25.02980210790392,121.1741083860318","25.05688468927438,121.203816566657","25.05688468927438,121.14440020540661",4132.66842404505,6182.399515630399,3733.1406521530826,6904.258081705302,2112.753303493959
62,"25.066893005932,121.119767508985",9,"25.05688468927438,121.1741083860318","25.08396727064484,121.1741083860318","25.02980210790392,121.1741083860318","25.05688468927438,121.203816566657","25.05688468927438,121.14440020540661",5593.928338506023,5799.451273532155,6852.070391075338,8552.665420365647,2721.4825468629692
63,"25.067037084738,121.11918627141",9,"25.05688468927438,121.1741083860318","25.08396727064484,121.1741083860318","25.02980210790392,121.1741083860318","25.05688468927438,121.203816566657","25.05688468927438,121.14440020540661",5654.572959913823,5849.777054790669,6908.613021973149,8612.885012665141,2781.5581893315457
77,"25.0665790241625,121.242632571755",9,"25.05688468927438,121.1741083860318","25.08396727064484,121.1741083860318","25.02980210790392,121.1741083860318","25.05688468927438,121.203816566657","25.05688468927438,121.14440020540661",6996.9616777425035,7176.619098855902,8025.678605205345,4061.075775780516,9969.61074777781
79,"25.0336404392535,121.165577156765",9,"25.05688468927438,121.1741083860318","25.08396727064484,121.1741083860318","25.02980210790392,121.1741083860318","25.05688468927438,121.203816566657","25.05688468927438,121.14440020540661",2714.961219627651,5640.960343440286,960.2684077376191,4639.031890258913,3346.15400780802
89,"25.038930558754,121.217997602685",9,"25.05688468927438,121.1741083860318","25.08396727064484,121.1741083860318","25.02980210790392,121.1741083860318","25.05688468927438,121.203816566657","25.05688468927438,121.14440020540661",4854.962554159102,6670.820971047094,4543.344022563993,2450.167542988153,7688.469579274897
90,"25.028207763813,121.214604574905",9,"25.05688468927438,121.1741083860318","25.08396727064484,121.1741083860318","25.02980210790392,121.1741083860318","25.05688468927438,121.203816566657","25.05688468927438,121.14440020540661",5176.104781106163,7405.99752975711,4090.947683762004,3358.0173236737523,7764.275030710016
113,"25.092769541407,121.20093630454",9,"25.05688468927438,121.1741083860318","25.08396727064484,121.1741083860318","25.02980210790392,121.1741083860318","25.05688468927438,121.203816566657","25.05688468927438,121.14440020540661",4809.093380623387,2876.635154756884,7481.985321484155,3985.715661400164,6952.376471461432
133,"25.050381644927,121.225829175865",9,"25.05688468927438,121.1741083860318","25.08396727064484,121.1741083860318","25.02980210790392,121.1741083860318","25.05688468927438,121.203816566657","25.05688468927438,121.14440020540661",5268.430705497313,6408.814248139524,5695.638662420688,2335.1013002248947,8248.20701095084
142,"25.007075394609,121.203675587105",9,"25.05688468927438,121.1741083860318","25.08396727064484,121.1741083860318","25.02980210790392,121.1741083860318","25.05688468927438,121.203816566657","25.05688468927438,121.14440020540661",6272.779812610368,9025.066221412158,3904.3944707820838,5517.5614018817705,8138.258677328356
151,"25.054696655976,121.217742242435",9,"25.05688468927438,121.1741083860318","25.08396727064484,121.1741083860318","25.02980210790392,121.1741083860318","25.05688468927438,121.203816566657","25.05688468927438,121.14440020540661",4409.516955585162,5467.551907136458,5195.577163369159,1425.9133189009171,7404.5063778412095
169,"25.051500071467,121.143711460235",9,"25.05688468927438,121.1741083860318","25.08396727064484,121.1741083860318","25.02980210790392,121.1741083860318","25.05688468927438,121.203816566657","25.05688468927438,121.14440020540661",3124.684134019558,4726.599650685438,3897.0544266967045,6094.21210410712,600.5091662883368
176,"25.0449950359235,121.21664716361",9,"25.05688468927438,121.1741083860318","25.08396727064484,121.1741083860318","25.02980210790392,121.1741083860318","25.05688468927438,121.203816566657","25.05688468927438,121.14440020540661",4490.031830114644,6087.616784171638,4611.093532990807,1846.8718389523167,7408.340886144064
177,"25.065764200814,121.19653956607",9,"25.05688468927438,121.1741083860318","25.08396727064484,121.1741083860318","25.02980210790392,121.1741083860318","25.05688468927438,121.203816566657","25.05688468927438,121.14440020540661",2467.802604712946,3031.0720813891353,4581.827483070306,1227.4462097572045,5352.020701835739
179,"25.04685935794,121.215891635755",9,"25.05688468927438,121.1741083860318","25.08396727064484,121.1741083860318","25.02980210790392,121.1741083860318","25.05688468927438,121.203816566657","25.05688468927438,121.14440020540661",4360.053958296792,5888.105084972741,4620.697472806453,1648.6257495070085,7299.0123300972455
191,"24.9978391493615,121.14626585628",9,"25.05688468927438,121.1741083860318","25.08396727064484,121.1741083860318","25.02980210790392,121.1741083860318","25.05688468927438,121.203816566657","25.05688468927438,121.14440020540661",7118.772088085724,9945.85526749955,4520.44256089994,8747.489741948657,6543.3787516738885
196,"25.0506276138975,121.206160045465",9,"25.05688468927438,121.1741083860318","25.08396727064484,121.1741083860318","25.02980210790392,121.1741083860318","25.05688468927438,121.203816566657","25.05688468927438,121.14440020540661",3307.6457253895624,4908.896275933067,3972.9403955990547,732.3476518989125,6270.3720088475575
197,"25.047812514221,121.18404564388",9,"25.05688468927438,121.1741083860318","25.08396727064484,121.1741083860318","25.02980210790392,121.1741083860318","25.05688468927438,121.203816566657","25.05688468927438,121.14440020540661",1419.6589425621944,4128.596918873658,2232.943412666448,2233.849877037998,4124.808650790666
