land_id,tran_coordinate,group_id,group_center,refer_point1,refer_point2,refer_point3,refer_point4,group_center_DIST,refer_point1_DIST,refer_point2_DIST,refer_point3_DIST,refer_point4_DIST
30,"25.034676882445,121.096022371165",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",2723.210229307777,3319.2679313831186,4670.600031914463,996.1100010098987,5640.84364326602
46,"25.006790005836,121.13144959079",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",6524.915149066609,8043.8951502037635,6200.414941946725,3834.5501507014174,9403.66556565425
47,"25.046352584942,121.13741841905",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",7095.306213003698,6795.311248174607,8515.324294292212,4343.906734081389,9989.750512665116
61,"25.038610892515,121.138404036165",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",6976.602076077618,7046.3512812013405,8105.255548434919,4074.3923286455292,9936.010725532682
62,"25.066893005932,121.119767508985",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",6680.411490067425,5178.144933082483,8968.992477442916,4882.516078463145,9131.907709854133
63,"25.067037084738,121.11918627141",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",6647.67770978922,5126.52624854744,8949.982228024883,4873.847110793465,9088.65983215281
74,"24.976158140851,121.10645897718",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",6656.187586830862,9316.611408837236,4450.938700571575,5617.726118381518,8662.502281482168
75,"24.974538515409,121.07739775784",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",5803.467064078266,8789.419431886894,2847.280959692296,6207.310416153339,6842.376762547731
118,"24.9896802318445,121.036497720065",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",5339.001408394165,7874.787537611755,3605.273616057656,7623.439773674077,4108.429888958542
161,"25.046879981523503,121.081899729295",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",2525.717718892159,1367.9593043930568,5374.705101186624,2915.909039719397,4715.2730795070265
162,"25.01564379901,121.049140842355",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",2476.418798034048,4731.280549927031,2807.24548483643,5299.569314076872,1470.4566442482305
175,"24.9941521623405,121.131532625845",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",7125.441777585193,9016.723463879316,6184.086743180046,4779.963994683251,9832.664492866139
185,"24.976713901062,121.04444615612",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",6118.0297753206205,8919.455132333025,3647.510583913807,7888.763180965441,5533.176094547258
200,"25.000595013155,121.06216132542",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",2998.0405605944584,5936.630570677536,856.3244882935674,4802.23300937453,3591.604375027589
209,"24.9855330636175,121.02803787539",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",6250.642397336144,8679.447687684922,4561.651256449998,8591.008028932223,4724.659060472842
210,"24.9962169328355,121.058581784465",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",3571.5073063164245,6474.619882217213,1261.355027527367,5384.830255276773,3807.904791192689
219,"25.012926464611,121.10833554456",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",4101.433418339501,5905.761554119523,4094.611150444088,1715.7070118830484,6977.294210151505
220,"25.0127532669675,121.108454773525",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",4119.709677148818,5928.18405044988,4098.902018222474,1738.3071576606665,6993.218284347856
237,"25.00887674316749,121.05434050477",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",2552.22932498698,5221.529535813675,1940.0355078535993,5031.93121870575,2385.5356970282437
266,"25.00708209258,121.136078378785",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",6956.691879565498,8386.289456531133,6667.955504139884,4209.855459694968,9851.49042131554
269,"24.999257677244,121.031693847485",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",4952.878839405971,7188.32230888617,3923.0626796425013,7553.064503650777,3161.9610503273057
286,"25.044648826154003,121.083664198075",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",2401.463264801866,1655.8761956043202,5176.137418818769,2612.0024674536735,4763.364957794306
288,"25.05010591616,121.096035031345",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",3662.986271598397,2600.817855682381,6170.165502216299,2643.2881149514287,6150.229262538765
292,"24.975719778804,121.08375089381",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",5786.77915702111,8733.560263764562,2949.405190069445,5872.856169591361,7104.321002695962
294,"24.9934659768415,121.076491191455",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",3714.221271123642,6692.467834366645,895.6286392819729,4381.09724904689,5136.387219572274
304,"25.015572309757506,121.13354352279",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",6473.069671684468,7628.411651601913,6603.7061714557585,3572.731691033096,9435.000606154988
307,"24.9931868439845,121.07666040879",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",3747.5113637906747,6724.808312989747,930.071901318132,4397.724536894356,5170.430335255925
308,"24.9799820844385,121.087967055315",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",5450.425302397527,8346.388454421129,2784.3313446810816,5306.406146428183,7017.399509351432
327,"25.0282199733525,121.067172876505",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",387.84218040729473,2836.3847988099633,3202.5110992442565,3344.73944282045,2663.476425498283
328,"25.028190357351,121.066976540845",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",403.9079069599889,2842.090761263335,3201.42410856349,3364.3475785440937,2643.4822443002063
350,"25.033331256319,121.094049296165",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",2487.1594098162323,3268.365122504605,4437.343016147809,977.9495129492396,5421.746858714595
351,"24.999370184398,121.1203107213",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",5856.07953838545,7833.115602620362,5022.948750186042,3628.291918058492,8567.822331639747
360,"24.9880316708655,121.03730672217",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",5429.139677445212,8004.918942501874,3587.867974767571,7654.936434049557,4282.459752676848
361,"24.990623825701,121.03661043972",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",5252.020722259457,7775.855451047292,3564.2555459496657,7558.250483356753,4003.2878564077823
378,"24.9984991209735,121.05789851157",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",3360.3185913183156,6240.184180164585,1282.1732187206505,5286.380262933179,3552.821468019812
386,"25.0184734905345,121.07990335966",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",1300.8255095155607,4008.0668221240508,2306.519195846413,2241.4922217244566,4042.520517022482
390,"25.0179464354755,121.123186390095",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",5397.197712006591,6621.66908636908,5693.26957383042,2502.627624859738,8365.30825617006
391,"25.018331366065503,121.08005431813",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",1322.7155339430576,4026.9697203194823,2298.478718180146,2233.9085344367954,4060.885571974209
399,"24.979143726033,121.119647415375",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",7221.119372671164,9625.597489884261,5444.027102951807,5604.779971571827,9532.222330145305
400,"24.9789882432975,121.11981929089",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",7245.555943108099,9649.297674348496,5466.959368628005,5626.986863679889,9556.196649178914
406,"24.995582389049,121.072397319625",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",3436.1553351878647,6433.837138449233,469.5302401632412,4436.673289881485,4681.405392529431
408,"24.988602576681,121.0194478057",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",6655.088835327914,8860.618478688326,5298.13740139562,9177.414941099558,4726.709641514127
412,"25.0419558688505,121.134890595135",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",6713.286988162212,6619.978762659225,8019.513637722745,3888.8330399337765,9643.234081655684
413,"25.0486450286585,121.08658897387",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",2933.502490990154,1709.993032661864,5682.170419920953,2809.09929358737,5224.691690015377
414,"25.045754292935,121.08120134737",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",2382.6298527034887,1384.6332676135044,5238.025494917986,2867.550825354228,4594.452323977575
415,"25.0459457673895,121.081420595425",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",2411.560481399984,1388.7528476517607,5263.35285815449,2868.5997186620757,4623.8885705510875
416,"25.0464474536385,121.0819965206",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",2487.626282254926,1402.7905342217612,5330.010918708452,2872.8025159371555,4701.21936841601
417,"25.048286549708003,121.08680176759",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",2912.5005608222486,1743.4293888240722,5650.3129984861525,2763.9626148412535,5225.270358942634
418,"25.046280034121,121.08180433529",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",2462.2117891163216,1397.608152022094,5307.724021693319,2871.1496763016617,4675.402286355368
421,"25.027505622075505,121.06686835252",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",386.58449821371886,2918.713975645126,3127.350085499758,3372.0442861306215,2628.471431584851
422,"25.038552698841,121.138587840885",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",6993.584119277255,7065.899173277324,8117.498843277335,4089.824395678351,9953.532613036838
435,"25.025695546427,121.110628814165",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",4045.7914806616923,5092.874648708086,4979.939946432058,1050.597226200256,7043.7217029716485
449,"24.993132429897,121.08980021777",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",4181.231599779517,6978.346812135891,2066.027231735603,3850.1761327495865,6174.722260828131
465,"25.044027054149502,121.135446156195",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",6828.918283742704,6634.248358079909,8200.930854745578,4043.911965545325,9741.317442293313
466,"25.011223787894,121.072548062595",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",1710.3518496078823,4702.810478954966,1317.017318838387,3272.6081635826094,3622.659835722264
516,"25.0115417129105,121.07167669444",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",1667.1080133534272,4664.6619119537045,1341.55911461693,3330.3673917028373,3528.473687834321
518,"25.0220822278725,121.13559792436",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",6583.547711149903,7436.9183068446555,7027.002806449927,3600.6877681904607,9576.151954185336
519,"25.026157870255,121.05771470239",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",1296.6377789764176,3308.4972175855723,3227.4917405530623,4294.515630291887,1703.0914402845335
523,"25.042929734678506,121.13414176611",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",6668.725579698218,6525.391448018613,8022.676572369484,3870.4139174515467,9588.644195427962
539,"25.0468607855705,121.08742062299",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",2820.640132960388,1860.2375204062118,5518.3154394628455,2595.829749067901,5210.711842583431
544,"25.017559336631003,121.11530064567",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",4625.002117779242,6030.456356891928,4941.176080014761,1815.8044803595672,7580.649114705188
559,"25.037038951465,121.136093066225",8,"25.026556671127498,121.07055433094357","25.05363925249796,121.07055433094357","24.999474089757037,121.07055433094357","25.026556671127498,121.10026251156876","25.026556671127498,121.04084615031837",6715.583997913344,6864.592839993286,7815.099942329859,3798.0185353688107,9682.584895743346
