year,month,group_center,refer_point1,refer_point2,refer_point3,refer_point4,group
2012,7,1.0,2.0,2.0,1.0,4.0,0
2012,8,4.0,1.0,3.0,7.0,0.0,0
2012,9,3.0,8.0,5.0,7.0,1.0,0
2012,10,2.0,4.0,5.0,7.0,8.0,0
2012,11,8.0,4.0,6.0,7.0,6.0,0
2012,12,13.0,10.0,3.0,16.0,6.0,0
2013,1,14.0,16.0,6.0,19.0,8.0,0
2013,2,8.0,4.0,2.0,9.0,2.0,0
2013,3,13.0,9.0,2.0,20.0,7.0,0
2013,4,13.0,6.0,7.0,19.0,13.0,0
2013,5,11.0,14.0,9.0,22.0,10.0,0
2013,6,10.0,9.0,14.0,24.0,12.0,0
2013,7,12.0,8.0,4.0,14.0,11.0,0
2013,8,12.0,5.0,8.0,15.0,7.0,0
2013,9,14.0,7.0,11.0,19.0,11.0,0
2013,10,34.0,8.0,10.0,13.0,9.0,0
2013,11,17.0,14.0,8.0,13.0,9.0,0
2013,12,17.0,7.0,8.0,21.0,3.0,0
2014,1,7.0,5.0,6.0,14.0,6.0,0
2014,2,11.0,8.0,5.0,9.0,7.0,0
2014,3,7.0,8.0,2.0,9.0,5.0,0
2014,4,18.0,3.0,7.0,5.0,7.0,0
2014,5,11.0,6.0,3.0,15.0,7.0,0
2014,6,2.0,4.0,2.0,5.0,2.0,0
2014,7,9.0,0.0,11.0,14.0,1.0,0
2014,8,7.0,3.0,6.0,8.0,3.0,0
2014,9,17.0,4.0,4.0,9.0,4.0,0
2014,10,3.0,4.0,3.0,12.0,4.0,0
2014,11,6.0,3.0,5.0,16.0,4.0,0
2014,12,9.0,5.0,18.0,28.0,8.0,0
2015,1,2.0,0.0,4.0,8.0,4.0,0
2015,2,1.0,2.0,1.0,13.0,4.0,0
2015,3,5.0,1.0,2.0,6.0,0.0,0
2015,4,7.0,3.0,5.0,13.0,0.0,0
2015,5,7.0,0.0,2.0,15.0,8.0,0
2015,6,4.0,2.0,6.0,16.0,0.0,0
2015,7,2.0,2.0,1.0,4.0,5.0,0
2015,8,2.0,0.0,3.0,7.0,2.0,0
2015,9,11.0,1.0,6.0,3.0,3.0,0
2015,10,1.0,1.0,4.0,10.0,3.0,0
2015,11,1.0,3.0,3.0,10.0,3.0,0
2015,12,6.0,2.0,3.0,13.0,8.0,0
2016,1,5.0,2.0,7.0,17.0,2.0,0
2016,2,1.0,1.0,2.0,6.0,1.0,0
2016,3,1.0,2.0,4.0,8.0,2.0,0
2016,4,0.0,1.0,5.0,6.0,0.0,0
2016,5,3.0,4.0,2.0,6.0,0.0,0
2016,6,2.0,0.0,1.0,7.0,1.0,0
2016,7,3.0,1.0,2.0,3.0,4.0,0
2016,8,1.0,3.0,4.0,11.0,1.0,0
2016,9,3.0,0.0,4.0,11.0,1.0,0
2016,10,1.0,1.0,1.0,5.0,3.0,0
2016,11,6.0,2.0,4.0,3.0,3.0,0
2016,12,7.0,0.0,0.0,8.0,2.0,0
2017,1,0.0,0.0,4.0,4.0,1.0,0
2017,2,2.0,2.0,0.0,3.0,2.0,0
2017,3,1.0,2.0,4.0,13.0,1.0,0
2017,4,2.0,3.0,5.0,6.0,0.0,0
2017,5,5.0,3.0,2.0,7.0,0.0,0
2017,6,2.0,2.0,1.0,12.0,0.0,0
2017,7,2.0,0.0,0.0,9.0,1.0,0
2017,8,1.0,0.0,0.0,12.0,1.0,0
2017,9,4.0,0.0,2.0,8.0,1.0,0
2017,10,3.0,0.0,3.0,12.0,4.0,0
2017,11,2.0,4.0,0.0,3.0,5.0,0
2017,12,5.0,2.0,3.0,3.0,5.0,0
2018,1,1.0,1.0,1.0,3.0,4.0,0
2018,2,0.0,1.0,0.0,2.0,3.0,0
2018,3,3.0,1.0,2.0,5.0,0.0,0
2018,4,5.0,1.0,2.0,5.0,1.0,0
2018,5,8.0,4.0,5.0,5.0,4.0,0
2018,6,3.0,2.0,4.0,12.0,8.0,0
2018,7,0.0,1.0,5.0,8.0,2.0,0
2018,8,6.0,1.0,10.0,5.0,3.0,0
2018,9,9.0,1.0,2.0,9.0,5.0,0
2018,10,6.0,0.0,1.0,10.0,3.0,0
2018,11,5.0,0.0,4.0,3.0,2.0,0
2018,12,3.0,0.0,2.0,4.0,1.0,0
2019,1,1.0,4.0,3.0,14.0,2.0,0
2019,2,3.0,2.0,0.0,9.0,1.0,0
2019,3,2.0,2.0,3.0,13.0,4.0,0
2019,4,5.0,4.0,0.0,8.0,4.0,0
2019,5,2.0,4.0,4.0,14.0,5.0,0
2019,6,0.0,1.0,5.0,9.0,5.0,0
2019,7,1.0,2.0,3.0,10.0,4.0,0
